=====Sat Aug 22 13:36:21 2015
329.695344 kbps in 1.000827 seconds
585.054250 kbps in 0.991826 seconds
776.593313 kbps in 1.028049 seconds
503.138500 kbps in 1.019123 seconds
622.115188 kbps in 1.004650 seconds
544.661562 kbps in 1.011843 seconds
277.276563 kbps in 1.014121 seconds
475.038969 kbps in 1.000979 seconds
610.334750 kbps in 1.000251 seconds
498.032625 kbps in 1.030808 seconds
416.279313 kbps in 1.011417 seconds
317.755281 kbps in 1.005025 seconds
378.231875 kbps in 0.983989 seconds
327.853313 kbps in 0.999691 seconds
476.200906 kbps in 1.022056 seconds
462.350656 kbps in 1.005263 seconds
364.348031 kbps in 0.999462 seconds
291.024656 kbps in 0.980508 seconds
403.129500 kbps in 0.995809 seconds
455.215000 kbps in 0.983588 seconds
461.733563 kbps in 0.982506 seconds
453.823344 kbps in 0.983960 seconds
318.409312 kbps in 1.038462 seconds
408.513937 kbps in 0.980980 seconds
432.138250 kbps in 0.998088 seconds
434.864250 kbps in 0.987177 seconds
492.046406 kbps in 1.037203 seconds
392.871000 kbps in 1.054290 seconds
441.024094 kbps in 0.991710 seconds
445.695500 kbps in 1.013535 seconds
454.519531 kbps in 1.013941 seconds
423.033063 kbps in 1.024979 seconds
548.067875 kbps in 1.000606 seconds
424.053750 kbps in 1.029643 seconds
475.608094 kbps in 1.004760 seconds
771.931938 kbps in 1.038506 seconds
348.012313 kbps in 1.031044 seconds
504.298094 kbps in 1.015685 seconds
503.499750 kbps in 0.981927 seconds
414.557062 kbps in 1.001879 seconds
503.300437 kbps in 1.025932 seconds
504.871531 kbps in 1.037254 seconds
374.101719 kbps in 0.987432 seconds
361.201344 kbps in 1.019819 seconds
321.032281 kbps in 0.991053 seconds
315.957156 kbps in 1.006896 seconds
296.986938 kbps in 1.022779 seconds
421.247844 kbps  average in 303.431549 seconds produce 15977486 Bytes
